business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
SU56w479vUfFHsvmvQIf7A,0, 3, 8, 4,0, 2, 1,0,0,0,0,0,0,0,0,0,0,0, 1, 4, 3, 6,0, 1
hRQS8y-uG2kc8miWVYiLuQ, 16, 24, 32, 47, 30, 14, 6, 3, 1,0,0, 1, 1,0,0, 1, 1, 1, 1, 1, 1,0,0, 2
SRUHJIKqhvKu2BFDTSoPww,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fTtkz2RhWNAp6jKiIzXf_A, 14, 7, 4, 3,0,0,0, 1,0,0,0,0,0,0,0, 1,0, 7, 18, 25, 29, 19, 11, 17
WK542yG4t2PUvaBOkjcwNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 1,0, 1,0,0,0,0
4mYPOzBokDgz307TW2EIKw, 1, 1, 7, 1, 6,0,0,0,0, 1,0,0,0, 1,0, 1, 4, 4, 7, 5, 3,0, 2, 3
ijg7qQCYnhUWBd5JUxbfvA, 5, 10, 9, 7, 5, 8, 7, 7, 8, 16, 4, 5, 2, 2, 6, 2, 9, 10, 13, 13, 11, 13, 7, 11
ai5dbb7P-qwt113PaJJCwg,0,0, 1, 1, 2, 2, 4, 2,0,0, 2, 3, 1, 4, 2, 2, 6, 6, 10, 5, 5, 1, 1, 1
BG8lvZoPTrPJqcvTh-ytzg, 1, 1, 1, 8, 4, 2, 2,0,0, 1,0,0,0,0,0,0,0, 1,0,0, 1,0,0,0
6r8YOdxoNYfkEfqxl-nO1A,0,0,0,0,0,0, 1, 1, 2,0,0,0,0,0,0,0,0,0,0, 2,0, 1,0,0
hLu4q64lPvF--9gd58lcPg,0,0,0,0,0,0, 1, 1,0, 1,0,0,0,0,0,0,0,0,0,0,0,0, 1, 2
LwQB9H3jZ9wTk24Lr-AnZQ, 26, 42, 81, 70, 59, 30, 20, 8,0,0,0,0, 1,0,0, 2,0, 2, 26, 45, 42, 53, 55, 27
nDKcQkh8vZkY_u1kyww44g, 36, 31, 21, 21, 24, 11, 4, 1, 2, 1,0,0,0, 1, 1, 4, 4, 6, 10, 9, 19, 11, 11, 17
