business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
SU56w479vUfFHsvmvQIf7A, 2, 1, 4, 2, 3, 1,0,0,0,0,0,0,0,0,0, 1,0,0,0, 3,0, 1,0, 2
hRQS8y-uG2kc8miWVYiLuQ, 8, 17, 27, 20, 15, 10, 1,0, 1,0, 1,0,0,0, 1, 1, 1, 1,0,0,0, 1,0, 2
SRUHJIKqhvKu2BFDTSoPww,0,0,0,0,0,0,0,0, 1,0,0,0,0,0,0,0,0,0,0,0,0, 1,0,0
fTtkz2RhWNAp6jKiIzXf_A, 6, 10, 9, 2,0,0,0, 1,0,0,0,0,0,0, 1,0,0, 2, 10, 26, 24, 14, 10, 9
WK542yG4t2PUvaBOkjcwNA,0,0,0,0,0,0,0,0, 1,0,0,0,0, 1,0,0,0, 1, 1,0,0,0,0,0
4mYPOzBokDgz307TW2EIKw, 1, 2, 1, 3, 3, 3, 1, 1,0,0, 1,0,0,0,0,0,0, 2, 1, 5, 2,0, 1,0
ijg7qQCYnhUWBd5JUxbfvA, 6, 4, 6, 2, 7, 6, 4, 2, 3, 2, 3, 2, 1, 1, 1, 1, 4, 3, 6, 5, 7, 6, 5, 3
ai5dbb7P-qwt113PaJJCwg, 1,0,0, 2,0, 3, 1, 1, 1, 2, 2, 2,0, 2, 1, 2, 4,0, 2, 1, 1, 1,0, 1
BG8lvZoPTrPJqcvTh-ytzg,0, 3, 1, 3, 3, 1,0,0,0,0,0,0,0,0,0,0,0,0,0, 1,0,0,0,0
6r8YOdxoNYfkEfqxl-nO1A,0,0,0,0,0, 1,0,0,0,0, 1,0,0,0,0, 1, 1,0, 1,0,0,0,0,0
hLu4q64lPvF--9gd58lcPg,0,0, 1, 2,0,0, 1,0,0, 1,0,0,0,0,0,0,0,0,0,0, 1,0,0,0
LwQB9H3jZ9wTk24Lr-AnZQ, 17, 35, 46, 51, 19, 20, 9, 2,0, 1,0,0, 1,0,0,0, 1,0, 9, 25, 24, 27, 19, 18
nDKcQkh8vZkY_u1kyww44g, 12, 8, 11, 6, 5, 4,0, 3,0,0,0,0,0, 1, 5, 2,0, 5, 5, 4, 9, 12, 10, 17
BEplfZTUzYwApjMUaOA12w, 10, 19, 28, 20, 16, 3, 5,0, 1,0,0,0,0,0,0, 1, 3, 2, 9, 18, 14, 16, 9, 13
Z3owSx_4NJerX08DO5FOtA, 2, 1, 2, 2, 2, 2, 2, 1,0, 1,0,0,0,0,0,0,0, 1,0, 3, 4, 1, 3, 4
cyV6Y8eOgpDTtdJQnB6FaA, 1,0,0,0,0, 1,0,0,0,0,0,0,0,0,0,0, 1,0,0, 1,0,0, 1, 1
