business_id,breakfast,lunch,dinner
glkEaoxbewiSMBiXs945JA,False,True,True
juuv0QPE_MfnVjevQTpCDg,False,False,False
Kx0MUrNQ737s-VVElk6Vig,True,True,False
dn_ipqbm7_jUz5X3rDez_A,False,True,True
ZosrzTfiiPhbURA04AQTUA,True,True,False
LFs5jyYdXlzi0SpAYi1eSA,False,True,True
hmgbkFngXKjpWqJItOPYpA,False,False,False
3mpBYH3k_lfzycajGtkggQ,False,True,False
g7fXSjIsE31hLIW5z60zfg,False,True,False
BQJokxJ4y4s57i7Mn65pvA,False,False,True
Oh62VtPS3Jj9e6CNRxJh5w,True,False,False
qorLOp7fZ6X7GSQG_0wPdg,True,False,False
hRQS8y-uG2kc8miWVYiLuQ,False,False,True
6bDpJirSVqt-NXz04vJ8ug,False,False,False
hzZjYhV25DuehpK1-pak1g,False,False,False
bpRo8L8dkhgbJhdIKa9mwA,False,False,True
dJp6YuFJRCVHtM7SuY_mMA,False,False,False
7xEgy2btCKLdTe1vD14ABw,False,True,False
huOCKRwDvNqGX3KSzYawbw,False,False,False
8yiLVWzJyyTEhYE0fVNvlA,False,False,True
CVKOPzBVOj3_apFUmZ9ZWw,False,True,True
f9sU31meK0bqAD7922sCog,False,False,True
6Wvn57wjSrVX7gJM37CIZw,False,True,False
oaap_zKAxkrlTBwF3onmXw,False,True,False
L-zHt7gZITG1z8l7TZ4dUg,False,False,False
39rjgt5MpEACNzyFnUmyaQ,False,True,False
ujKxpaUmTUVpGRBFSvZfbg,False,False,True
kJ_Rke1dt9zpbJp9lX6sXw,True,True,False
CVRTly4ag_q5ua0R3iqrVw,False,False,False
T70pMoTP008qYLsIvFCXdQ,False,True,False
b24sTA2JkHB4joNlNkBkfQ,False,True,False
mGjyaCZUVvFhO8nolbDdnQ,True,True,True
lTixk1IT-D4hoMZ6LgoyHQ,False,False,True
b3vRI8yXNK34hgC0Wd4Iag,False,True,True
5Mp-PD_CUaPoJr6CP-WBdA,False,True,False
iIwKW2cBAxjElE8eUzjwqA,False,True,True
iHi-7vmZ6vQ1Kx6HOrqxKQ,True,True,False
arzicWkekowFIyFAVU2tUw,False,False,False
ppmYIHMCIL5bocUsJSsDWA,False,False,False
12f7GOkkC0GZRMif-fidhQ,False,True,False
MZRqxvBkJLjKcoOjNz7yLA,False,True,True
eavP59x5DOpGwVFhxbG4Cg,False,True,False
MnYGGxWpMyQ7oncUPjbEmw,False,True,False
cyV6Y8eOgpDTtdJQnB6FaA,False,True,True
2mfBO8iZ5E_ULmcxEXqOrw,False,False,True
swl9MCD8CU7kbNvn0L4SJg,False,True,True
Kn23LDd740SBVJ7mum0fwg,False,False,False
k1PkpDm5d5pYJI1K_3UYpw,False,True,True
3uC7Lbc3RgUDTWQlBu4PqQ,True,False,False
YyANO0qR2zE0YILChhz2Pg,False,False,False
6r8YOdxoNYfkEfqxl-nO1A,True,False,False
x7kEMeQ25jBQtm_ID-BPBA,False,False,False
yZnEwqTGpkrj_mga5zeZmQ,False,True,True
Akl6WDSUwYQ3zanxczLNSg,False,False,True
Trbt0Ex85yvwT8DHoEFCvg,True,True,True
RO1h2JPbvp0QeqSHDJbeKw,False,False,False
2O_b-IAAW7SoPt__RX1Kww,True,True,True
-wCtRhzWJ40Z4F8mmg7kWg,False,True,True
CftugKq9LBGGbYbzGWN5Qg,False,True,False
mlNHAQR3UhowDDYdJF5w9w,False,False,True
noZNxJF_q9V3Iox5qG2bVA,False,False,False
7wMCJ9NqL9eBEX4WdJWuIA,False,False,True
Gk_KLfwb0GMgKDrP8_0kqg,False,False,False
M5Ft2YKkh9fFjyUNmAeRGA,False,False,True
duw-3Aj7gAKbQG-isS5UtQ,True,False,False
8oSNaQnLGfbFC0uyRUjfCA,False,True,True
Sy36Js6xGWQqpi9K6nlYgg,False,False,True
wyPkRQg3F5Yz2WqRFax7-g,False,True,False
G58YATMKnn-M-RUDWg3lxw,True,False,False
0IjBFHFm8M-VPyym-Xrkhw,False,True,False
CCVh8YKdN3c-WgqEbzya3A,True,True,False
MbhIK-51P6TmHWLLa-n4Sg,False,False,True
Q-cV5tDErkUbUefrzDa7Aw,False,True,False
0QHMAUi6NdOUZ1ckXq0-sA,False,False,True
liGn7sPOvUuy3kcwbhRkbA,False,False,True
