business_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
5Zc41a446gV3K_o7CDs69Q, 33, 40, 33, 32, 26, 25, 19, 42, 24, 15, 14, 7, 6, 9, 13, 17, 22, 32, 30, 23, 33, 37, 25, 37
rOdbLPm_u_7jWM_GDxquEg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_7EsArRtaywrPasvA8ryfg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 1,0,0,0,0,0,0,0
El4FC8jcawUVgw_0EIcbaQ, 293, 353, 405, 360, 418, 349, 354, 330, 206, 155, 109, 77, 45, 50, 99, 180, 224, 234, 309, 391, 391, 358, 406, 393
ry-FLqYclt7okJbdYcmOhw, 1, 7, 7, 4, 3, 6, 6,0, 3, 1, 4, 2, 1, 1,0, 2, 2, 3, 2, 3, 2, 7, 6, 4
ECOkEVUodMLUxvI0PMI4gQ, 7, 13, 14, 34, 92, 240, 287, 210, 177, 133, 52, 32, 6, 6, 4, 3, 6, 10, 13, 14, 13, 8, 8, 12
oJZNHz5UUVUgrZwVBVlpYw, 19, 11, 10, 7, 11, 16, 6, 7, 6, 12, 5, 1, 3, 4, 1, 1, 36, 126, 72, 35, 14, 25, 21, 19
zCaczzZnQUiduNNFvLa0Gg, 1, 5, 2, 1,0,0,0,0,0, 1,0, 1, 1,0,0,0,0,0,0,0,0,0,0, 2
M--CB6Fhp4XKxsR2PlcP9w, 21, 22, 18, 7, 13, 15, 14, 5, 3, 1,0, 1,0,0, 1, 1, 2, 3, 12, 25, 36, 46, 48, 50
GbYBL-LB8Dra49t8XCnVWw,0,0,0,0,0,0,0,0,0,0, 2,0,0,0,0,0, 1,0,0, 1, 3,0, 1,0
bYw7mT1e3frkxG0nd2_mjg,0,0,0,0,0,0,0,0,0,0,0,0, 1,0,0, 1,0,0,0,0,0,0,0,0
xg6X-QhO5kTv9PtFqJp-OA,0, 1, 1,0, 1, 1,0,0,0,0,0,0,0,0,0,0,0, 1, 1, 1, 1,0,0, 1
6V_7ldr9tjmet0BdAnC34A, 38, 24, 19, 19, 9, 4, 1, 2,0, 2, 1,0,0, 1,0, 1, 2,0,0,0, 1, 1,0, 3
x5m_Cux8UoFlVtqxzUa99Q, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 1,0,0, 3, 1, 4, 1,0, 3
F7E3qP0oz_SuVGZGL0D8Zw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W--NYYk_TqGtq_miUE1Eyw, 1,0, 1,0,0,0, 1,0,0, 1,0,0,0,0, 1,0, 1,0,0, 2,0,0, 3, 3
gGqppHYDpINGjRb8ru-dsA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
