business_id,name,neighborhood,categories,GoodForMeal
glkEaoxbewiSMBiXs945JA,800 Degrees,The Strip,"Pizza, Food, Restaurants","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
juuv0QPE_MfnVjevQTpCDg,Manhattan Streets,The Strip,"Hot Dogs, Food, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
Kx0MUrNQ737s-VVElk6Vig,Las Delicias De Las Vegas,The Strip,"Restaurants, Mexican","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}"
dn_ipqbm7_jUz5X3rDez_A,Todd English P.U.B.,The Strip,"Beer, Wine & Spirits, British, Nightlife, Bars, Restaurants, Gastropubs, Food","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
ZosrzTfiiPhbURA04AQTUA,Pyramid Cafe,The Strip,"Diners, Sandwiches, Restaurants, Burgers","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}"
LFs5jyYdXlzi0SpAYi1eSA,Maggiano's Little Italy,The Strip,"Restaurants, Bars, Nightlife, Italian","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
hmgbkFngXKjpWqJItOPYpA,Tropical Smoothie Cafe - Excalibur,The Strip,"Sandwiches, Restaurants, Fast Food","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}"
3mpBYH3k_lfzycajGtkggQ,Sandwich Carvery 108,The Strip,"Sandwiches, Food, Do-It-Yourself Food, Restaurants","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
vl5_S8mfd3qHgC7gYEOVJA,Kosher Gourmet,The Strip,"Cantonese, Restaurants, Chinese, Kosher",
g7fXSjIsE31hLIW5z60zfg,Coast 2 Coast Food Truck,The Strip,"Delis, Food Trucks, Sandwiches, Restaurants, Food","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
BQJokxJ4y4s57i7Mn65pvA,Hecho en Vegas,The Strip,"Restaurants, Mexican","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
Oh62VtPS3Jj9e6CNRxJh5w,Banana Leaf Café,The Strip,"Cafes, Asian Fusion, American (Traditional), Chinese, Restaurants","{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': True}"
qorLOp7fZ6X7GSQG_0wPdg,McDonald's,The Strip,"Coffee & Tea, Burgers, Fast Food, Food, Restaurants","{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': False}"
hRQS8y-uG2kc8miWVYiLuQ,Golden Steer Steakhouse,The Strip,"Restaurants, Steakhouses","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
6bDpJirSVqt-NXz04vJ8ug,Burger Palace,The Strip,"Burgers, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
hzZjYhV25DuehpK1-pak1g,Pampas,The Strip,"Brazilian, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
bpRo8L8dkhgbJhdIKa9mwA,STK Las Vegas,The Strip,"Bars, Nightlife, American (New), Restaurants, Steakhouses, Cocktail Bars","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
rOdbLPm_u_7jWM_GDxquEg,Chinese Gourmet Express,The Strip,"Restaurants, Chinese",
dJp6YuFJRCVHtM7SuY_mMA,Love Thai Cuisine,The Strip,"Thai, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
7xEgy2btCKLdTe1vD14ABw,Johnny Rockets,The Strip,"Burgers, Restaurants, Diners, American (Traditional), Sandwiches","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
huOCKRwDvNqGX3KSzYawbw,Cafe Gelato,The Strip,"Ice Cream & Frozen Yogurt, Desserts, Coffeeshops, Coffee & Tea, Cafes, Food, Gelato, Restaurants, Nightlife","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
8yiLVWzJyyTEhYE0fVNvlA,Il Mulino New York,The Strip,"Restaurants, Italian","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
CVKOPzBVOj3_apFUmZ9ZWw,Gordon Ramsay Fish & Chips,The Strip,"Comfort Food, Restaurants, Fish & Chips, Seafood","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
f9sU31meK0bqAD7922sCog,Sage,The Strip,"Mediterranean, American (New), Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
6Wvn57wjSrVX7gJM37CIZw,Wichcraft,The Strip,"Restaurants, Sandwiches","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
oaap_zKAxkrlTBwF3onmXw,La Salsa,The Strip,"Mexican, Restaurants","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
L-zHt7gZITG1z8l7TZ4dUg,Sugar & Ice,The Strip,"Food, Ice Cream & Frozen Yogurt, Sandwiches, Restaurants","{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
39rjgt5MpEACNzyFnUmyaQ,Bella Panini,The Strip,"Restaurants, Sandwiches","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
ujKxpaUmTUVpGRBFSvZfbg,Bradley Ogden,The Strip,"Restaurants, American (New)","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
JXdzS5ez3semEliQyhLnqw,The Dapper Doughnut,The Strip,"Restaurants, Chicken Wings, Donuts, Salad, Desserts, Food",
kJ_Rke1dt9zpbJp9lX6sXw,IHOP,The Strip,"American (Traditional), Breakfast & Brunch, Restaurants, American (New), Burgers","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}"
CVRTly4ag_q5ua0R3iqrVw,Ku Noodle by José Andrés,The Strip,"Asian Fusion, Taiwanese, Restaurants, Japanese, Ramen, Chinese","{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
T70pMoTP008qYLsIvFCXdQ,Red Velvet Café,The Strip,"Restaurants, American (New), Vegan, Food, Coffee & Tea","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
b24sTA2JkHB4joNlNkBkfQ,San Gennaro Grill,The Strip,"Italian, Sandwiches, American (New), Burgers, Restaurants","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
mGjyaCZUVvFhO8nolbDdnQ,Big Kitchen Buffet,The Strip,"Buffets, Restaurants","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': True, 'brunch': False}"
lTixk1IT-D4hoMZ6LgoyHQ,The Barrymore,The Strip,"Restaurants, American (New), Cocktail Bars, Steakhouses, Nightlife, Bars","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
b3vRI8yXNK34hgC0Wd4Iag,Chin Chin,The Strip,"Sushi Bars, Chinese, Asian Fusion, Restaurants","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
5Mp-PD_CUaPoJr6CP-WBdA,Rubio's,The Strip,"Salad, Seafood, Restaurants, Fast Food, Caterers, Mexican, Event Planning & Services","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
iIwKW2cBAxjElE8eUzjwqA,Bobby's Burger Palace,The Strip,"American (Traditional), Salad, Burgers, Sandwiches, Restaurants","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
iHi-7vmZ6vQ1Kx6HOrqxKQ,5 Dollar Cafe,The Strip,"American (Traditional), Restaurants, Breakfast & Brunch, Thai, Chinese","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}"
arzicWkekowFIyFAVU2tUw,Pampas,The Strip,"Brazilian, Sandwiches, Restaurants, Seafood","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}"
ppmYIHMCIL5bocUsJSsDWA,Market City Caffe,The Strip,"Italian, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
12f7GOkkC0GZRMif-fidhQ,NASCAR Cafe,The Strip,"Restaurants, American (Traditional)","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
MZRqxvBkJLjKcoOjNz7yLA,Carlos'n Charlie's,The Strip,"Nightlife, Bars, Cocktail Bars, Restaurants, Mexican","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
eavP59x5DOpGwVFhxbG4Cg,Pho Vietnamese Cuisine,The Strip,"Vietnamese, Restaurants","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
MnYGGxWpMyQ7oncUPjbEmw,Nathan's Famous,The Strip,"Restaurants, Cheesesteaks, American (New), Comfort Food, Hot Dogs","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"
cyV6Y8eOgpDTtdJQnB6FaA,ESPN Zone,The Strip,"Nightlife, Bars, Restaurants, Arts & Entertainment, Sports Bars, Arcades","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
2mfBO8iZ5E_ULmcxEXqOrw,Union Restaurant & Lounge,The Strip,"Restaurants, American (New), Steakhouses","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"
swl9MCD8CU7kbNvn0L4SJg,Skybox Sports Bar & Grill,The Strip,"American (New), Nightlife, Sports Bars, Burgers, Restaurants, Bars","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
Kn23LDd740SBVJ7mum0fwg,V Bar,The Strip,"Bars, Restaurants, Lounges, Nightlife, American (New)","{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
k1PkpDm5d5pYJI1K_3UYpw,Nathan's Famous,The Strip,"Restaurants, Hot Dogs","{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"
3uC7Lbc3RgUDTWQlBu4PqQ,Bouchon Bakery at the Venetian Theater,The Strip,"Restaurants, Bakeries, Desserts, French, Sandwiches, Food","{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': False}"
YyANO0qR2zE0YILChhz2Pg,Gary Canter's Delicatessen - Mandalay Bay,The Strip,"Restaurants, Delis","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"
6r8YOdxoNYfkEfqxl-nO1A,Subway,The Strip,"Sandwiches, Fast Food, Restaurants","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': False}"
